160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
162	175	222
162	175	222
162	175	222
162	175	222
162	175	222
162	175	222
163	175	222
163	175	222
163	175	222
163	175	222
163	175	222
164	175	222
164	175	222
164	175	222
164	175	222
164	176	222
165	176	222
165	175	222
165	176	222
165	176	222
165	176	222
166	176	222
166	176	222
166	176	222
166	176	222
167	176	222
167	176	222
167	176	222
167	176	222
168	176	222
168	176	222
168	176	222
168	176	222
169	176	222
169	176	222
169	176	222
169	176	222
170	176	222
170	176	222
170	176	222
170	176	222
171	176	222
171	176	222
171	176	222
172	176	222
172	176	222
172	176	222
173	176	222
173	176	222
173	177	222
174	177	222
174	177	222
174	177	222
175	177	222
175	177	222
160	160	128
176	177	222
160	160	128
176	177	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
190	175	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
212	179	222
212	178	222
213	177	222
213	177	222
213	176	222
213	175	222
213	175	222
213	174	222
213	173	222
213	173	222
214	172	222
160	160	128
214	171	222
160	160	128
160	160	128
265	179	222
265	177	222
265	176	222
265	175	222
265	174	222
160	160	128
160	160	128
160	160	128
548	196	222
548	191	222
160	160	128
160	160	128
549	178	222
160	160	128
160	160	128
160	160	128
549	159	222
549	155	222
160	160	128
549	146	222
549	141	222
549	137	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
367	117	222
364	116	222
362	113	222
362	111	222
362	109	222
362	106	222
363	103	222
364	101	222
364	98	222
363	95	222
363	93	222
363	90	222
364	87	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
263	30	222
262	28	222
261	26	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
271	-14	222
268	-13	222
160	160	128
160	160	128
160	160	128
250	-1	222
160	160	128
245	-2	222
243	-2	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
206	-28	222
160	160	128
160	160	128
160	160	128
160	160	128
193	-17	222
191	-18	222
189	-19	222
160	160	128
160	160	128
160	160	128
181	-24	222
178	-25	222
176	-26	222
174	-29	222
172	-31	222
170	-32	222
160	160	128
164	18	222
162	17	222
160	16	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
158	143	222
160	160	128
157	144	222
157	145	222
157	145	222
156	145	222
156	145	222
156	146	222
156	146	222
156	146	222
156	146	222
156	146	222
155	146	222
155	146	222
155	146	222
155	146	222
155	147	222
155	147	222
155	147	222
154	147	222
154	147	222
154	146	222
154	146	222
154	146	222
160	160	128
153	146	222
153	146	222
160	160	128
160	160	128
153	146	222
160	160	128
153	146	222
152	146	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
138	126	222
138	127	222
138	128	222
138	129	222
138	129	222
137	130	222
137	130	222
137	131	222
137	131	222
137	132	222
136	132	222
135	131	222
160	160	128
135	132	222
160	160	128
160	160	128
160	160	128
87	84	222
86	84	222
84	84	222
82	83	222
80	83	222
78	83	222
76	83	222
74	83	222
71	83	222
69	82	222
67	83	222
67	85	222
67	86	222
67	88	222
67	90	222
67	91	222
66	93	222
160	160	128
107	124	222
107	125	222
106	125	222
106	126	222
160	160	128
121	137	222
121	137	222
121	138	222
121	139	222
122	140	222
121	140	222
121	141	222
121	141	222
160	160	128
120	141	222
160	160	128
160	160	128
160	160	128
160	160	128
95	134	222
95	135	222
94	136	222
160	160	128
160	160	128
62	127	222
62	128	222
61	130	222
61	131	222
61	132	222
61	133	222
61	134	222
60	136	222
60	137	222
60	138	222
60	139	222
60	140	222
59	141	222
59	143	222
59	144	222
59	145	222
59	146	222
59	147	222
59	148	222
58	150	222
58	151	222
58	152	222
58	153	222
58	154	222
58	156	222
58	157	222
58	158	222
58	159	222
58	160	222
57	162	222
57	163	222
58	164	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
111	166	222
160	160	128
160	160	128
107	169	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
119	171	222
160	160	128
120	171	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
